timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-04-15T20:38:48,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,72828776-ba02-41c5-b07c-3622e2bf49dd,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,156.1794759,0.0003817595007593,2.4443640789510035e-06,22.5,44.10056820883184,11.897217750549316,0.0009760537656249,0.00195314184029,0.0005159141363453,0.0034451097422603,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
2025-05-04T16:32:43,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,437944fa-2b7b-45b2-bfa7-2c5d3121ddf9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,155.36568139999997,0.0003827051594792,2.46325415002008e-06,22.5,46.73714513025841,11.897217750549316,0.0009709631437499,0.0019694801866939,0.0005132003135588,0.0034536436440028,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
2025-05-04T16:35:39,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,7d6460de-69e6-4442-bf92-464044d06884,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,155.8371791,0.0003846937940718,2.468562356515923e-06,22.5,45.78510351203869,11.897217750549316,0.000973901801875,0.001982940197462,0.0005147476666909,0.0034715896660279,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
2025-05-04T16:38:33,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,c08a4162-7d68-4dfe-8de2-9b089677e90a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,154.05439950000005,0.0003816442737172,2.4773344672784453e-06,22.5,48.52572177248865,11.897217750549316,0.00096275483125,0.001972470189086,0.0005088448792888,0.0034440698996248,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
2025-05-04T16:41:30,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,0ca2b7a1-25a7-49ba-a7d6-fbd459d05064,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,156.7852842000001,0.0003871667721325,2.4694075984751235e-06,22.5,45.40972765265015,11.897217750549316,0.00097983534625,0.001996193819176,0.0005178773801878,0.0034939065456138,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
2025-05-04T16:44:28,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,304100f3-29fd-487e-8618-a6d5b4f90224,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,156.23099349999995,0.0003868151176364,2.4759179274917587e-06,22.5,45.09563232849514,11.897217750549316,0.0009763718981249,0.001998330209774,0.0005160310043677,0.0034907331122667,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
2025-05-04T16:47:23,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,e3e26f4b-338a-4e8b-9396-2bfa70829c73,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,154.88117970000008,0.0003842170932585,2.4807216344993587e-06,22.5,47.807917735417895,11.897217750549316,0.0009679460768749,0.00198774464575,0.0005115970554006,0.0034672877780256,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
2025-05-04T16:50:19,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,22fc29a3-2bd6-4159-ae55-87cfbf09d8a3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,155.33157000000006,0.0003855359482303,2.4820192587400674e-06,22.5,46.5979628740398,11.897217750549316,0.000970756241875,0.001995345207386,0.0005130880629789,0.0034791895122399,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
2025-05-04T16:53:14,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,41b3f2e4-99ed-4cba-a9fe-b4ab8bf1f38c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,153.41550380000012,0.000381138671397,2.4843556352292304e-06,22.5,49.39287681275605,11.897217750549316,0.0009587812825,0.001973976856958,0.000506749056487,0.003439507195945,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
2025-05-04T16:56:07,./saved/movielens/FISM-Apr-04-2025_11-45-26.pth,610f0d70-c308-49a3-9019-2ae2ffab10f6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,153.19092410000007,0.0003810192253116,2.4872180094882807e-06,22.5,49.25707863296202,11.897217750549316,0.0009573762843749,0.0019750435244779,0.0005060094705722,0.0034384292794252,Austria,AUT,vienna,,,Windows-10-10.0.26100-SP0,3.8.20,2.8.3,12,Intel(R) Core(TM) i7-10850H CPU @ 2.70GHz,1,1 x Quadro T2000,16.4997,48.2169,31.725914001464844,machine,N,1.0
