counter,timestamp,duration,dataset,model,test_result,parameter_dict,model_path,energy_consumed,country_iso_code
20,2025-04-19 18:17:04.255044,841.5770631000014,amazon,SLIMElastic,{'mrr@10': 0.0389},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['MRR']}",./saved/amazon/SLIMElastic-Apr-19-2025_18-17-04.pth,0.009600913986344871,AUT
21,2025-04-19 19:01:06.301772,4576.0645824,amazon,NeuMF,{'mrr@10': 0.0486},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['MRR']}",./saved/amazon/NeuMF-Apr-19-2025_19-01-04.pth,0.0432419336064709,AUT
22,2025-04-19 20:21:20.251104,2246.6706069,amazon,MultiDAE,{'mrr@10': 0.0885},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['MRR']}",./saved/amazon/MultiDAE-Apr-19-2025_20-21-20.pth,0.0279830812107103,AUT
23,2025-04-19 21:46:42.235933,3319.9740336,amazon,NGCF,{'mrr@10': 0.056},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['MRR']}",./saved/amazon/NGCF-Apr-19-2025_21-46-40.pth,0.0222565218595959,AUT
24,2025-04-19 22:42:47.187481,2144.8681485999996,amazon,LightGCN,{'mrr@10': 0.0517},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['MRR']}",./saved/amazon/LightGCN-Apr-19-2025_22-42-47.pth,0.0221695354962432,AUT
25,2025-04-19 23:19:11.408122,7963.3388647,amazon,SGL,{'mrr@10': 0.0705},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['MRR']}",./saved/amazon/SGL-Apr-19-2025_23-19-11.pth,0.0933516300736591,AUT
26,2025-04-20 01:32:33.606534,537.3674277999999,amazon,CKE,{'mrr@10': 0.0443},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'metrics': ['MRR']}",./saved/amazon/CKE-Apr-20-2025_01-32-33.pth,0.007391729319661412,AUT
27,2025-04-20 01:42:02.520904,678.3174853,amazon,CFKG,{'mrr@10': 0.0248},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'metrics': ['MRR']}",./saved/amazon/CFKG-Apr-20-2025_01-42-02.pth,0.009435928979495143,AUT
28,2025-04-20 01:54:09.890130,2070.748431099999,amazon,KGCN,{'mrr@10': 0.0242},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'metrics': ['MRR']}",./saved/amazon/KGCN-Apr-20-2025_01-54-09.pth,0.030211527755322935,AUT
29,2025-04-20 02:30:37.805013,1928.3409429999992,amazon,KTUP,{'mrr@10': 0.022},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'metrics': ['MRR']}",./saved/amazon/KTUP-Apr-20-2025_02-30-37.pth,0.028390365770642585,AUT
30,2025-04-26 10:11:59.225574,2249.5911439,amazon,RippleNet,{'mrr@10': 0.0532},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'metrics': ['MRR']}",./saved/amazon/RippleNet-Apr-26-2025_10-11-57.pth,0.048005976317627486,AUT
31,2025-04-29 13:29:58.240417,182845.1805911,amazon,DGCF,{'mrr@10': 0.0547},"{'epochs': 20, 'stopping_step': 50, 'checkpoint_dir': './saved/amazon/', 'save_dataset': True, 'save_dataloaders': True, 'metrics': ['MRR']}",./saved/amazon/DGCF-Apr-29-2025_13-29-55.pth,1.77584094362265,AUT
